[2026-05-19 20:01:47] Watching final SFT summary at /vol/checkpoints/maxrodriguez_milestone/final_sft/sftfinal_milestone_v8_e3_lr2E-05_seq1024_ga4_nodagger/summary.json
[2026-05-19 20:01:50] Final SFT still running; sleeping.
[2026-05-19 20:02:51] Final SFT still running; sleeping.
[2026-05-19 20:03:54] Final SFT still running; sleeping.
[2026-05-19 20:04:56] Final SFT still running; sleeping.
[2026-05-19 20:05:58] Final SFT still running; sleeping.
[2026-05-19 20:06:59] Final SFT still running; sleeping.
[2026-05-19 20:08:01] Final SFT still running; sleeping.
[2026-05-19 20:09:03] Final SFT still running; sleeping.
[2026-05-19 20:10:05] Final SFT still running; sleeping.
[2026-05-19 20:11:07] Final SFT still running; sleeping.
[2026-05-19 20:12:09] Final SFT still running; sleeping.
[2026-05-19 20:13:11] Final SFT still running; sleeping.
[2026-05-19 20:14:13] Final SFT still running; sleeping.
[2026-05-19 20:15:14] Final SFT still running; sleeping.
[2026-05-19 20:16:16] Final SFT still running; sleeping.
[2026-05-19 20:17:18] Final SFT still running; sleeping.
[2026-05-19 20:18:20] Final SFT still running; sleeping.
[2026-05-19 20:19:21] Final SFT still running; sleeping.
[2026-05-19 20:20:24] Final SFT still running; sleeping.
[2026-05-19 20:21:26] Final SFT still running; sleeping.
[2026-05-19 20:22:28] Final SFT still running; sleeping.
[2026-05-19 20:23:30] Final SFT still running; sleeping.
[2026-05-19 20:24:31] Final SFT still running; sleeping.
[2026-05-19 20:25:33] Final SFT still running; sleeping.
[2026-05-19 20:26:35] Final SFT still running; sleeping.
[2026-05-19 20:27:37] Final SFT still running; sleeping.
[2026-05-19 20:28:39] Final SFT still running; sleeping.
[2026-05-19 20:29:03] Watching final SFT summary at /vol/checkpoints/maxrodriguez_milestone/final_sft/sftfinal_milestone_v8_e3_lr2E-05_seq1024_ga4_nodagger/summary.json
[2026-05-19 20:29:05] Final SFT still running; sleeping.
[2026-05-19 20:29:40] Final SFT still running; sleeping.
[2026-05-19 20:30:07] Final SFT still running; sleeping.
[2026-05-19 20:30:42] Final SFT still running; sleeping.
[2026-05-19 20:31:09] Final SFT still running; sleeping.
[2026-05-19 20:31:44] Final SFT still running; sleeping.
[2026-05-19 20:32:10] Final SFT still running; sleeping.
[2026-05-19 20:32:46] Final SFT still running; sleeping.
[2026-05-19 20:33:12] Final SFT still running; sleeping.
[2026-05-19 20:33:47] Final SFT still running; sleeping.
[2026-05-19 20:34:14] Final SFT still running; sleeping.
[2026-05-19 20:34:49] Final SFT still running; sleeping.
[2026-05-19 20:35:15] Final SFT still running; sleeping.
[2026-05-19 20:35:51] Final SFT still running; sleeping.
[2026-05-19 20:36:17] Final SFT still running; sleeping.
[2026-05-19 20:36:52] Final SFT still running; sleeping.
[2026-05-19 20:37:19] Final SFT still running; sleeping.
[2026-05-19 20:37:54] Final SFT still running; sleeping.
[2026-05-19 20:38:20] Final SFT still running; sleeping.
[2026-05-19 20:38:56] Final SFT still running; sleeping.
[2026-05-19 20:39:22] Final SFT still running; sleeping.
[2026-05-19 20:39:57] Final SFT still running; sleeping.
[2026-05-19 20:40:24] Final SFT still running; sleeping.
[2026-05-19 20:40:59] Final SFT still running; sleeping.
[2026-05-19 20:41:25] Final SFT still running; sleeping.
[2026-05-19 20:42:01] Final SFT still running; sleeping.
[2026-05-19 20:42:27] Final SFT still running; sleeping.
[2026-05-19 20:43:04] Final SFT still running; sleeping.
[2026-05-19 20:43:29] Final SFT still running; sleeping.
[2026-05-19 20:44:05] Final SFT still running; sleeping.
[2026-05-19 20:44:31] Final SFT still running; sleeping.
[2026-05-19 20:45:07] Final SFT still running; sleeping.
[2026-05-19 20:45:33] Final SFT still running; sleeping.
[2026-05-19 20:46:09] Final SFT still running; sleeping.
[2026-05-19 20:46:35] Final SFT still running; sleeping.
[2026-05-19 20:47:11] Final SFT still running; sleeping.
[2026-05-19 20:47:36] Final SFT still running; sleeping.
[2026-05-19 20:48:13] Final SFT still running; sleeping.
[2026-05-19 20:48:39] Final SFT still running; sleeping.
